acquirer_name,assignee_name,is_match,simple_ratio,partial_ratio,sort_ratio,set_ratio,simple*partial,simple*sort,simple*set,partial*sort,partial*set,sort*set,simple^2,partial^2,sort^2,set^2
veritas technologies,veritas operating corporation,1,0.53,0.55,0.53,0.53,0.29150000000000004,0.28090000000000004,0.28090000000000004,0.29150000000000004,0.29150000000000004,0.28090000000000004,0.28090000000000004,0.30250000000000005,0.28090000000000004,0.28090000000000004
cree,"cree, inc.",1,0.57,1.0,0.67,1.0,0.57,0.3819,0.57,0.67,1.0,0.67,0.32489999999999997,1.0,0.4489000000000001,1.0
cree,"cree research, inc. ",1,0.33,1.0,0.38,1.0,0.33,0.1254,0.33,0.38,1.0,0.38,0.10890000000000001,1.0,0.1444,1.0
cree,"cree led lighting solutions, inc.",1,0.22,1.0,0.23,1.0,0.22,0.0506,0.22,0.23,1.0,0.23,0.0484,1.0,0.0529,1.0
cree,"cree fayetteville, inc.",1,0.3,1.0,0.32,1.0,0.3,0.096,0.3,0.32,1.0,0.32,0.09,1.0,0.1024,1.0
cree,cree lighting company,1,0.32,1.0,0.32,1.0,0.32,0.1024,0.32,0.32,1.0,0.32,0.1024,1.0,0.1024,1.0
cree,cree microwave llc,1,0.36,1.0,0.36,1.0,0.36,0.1296,0.36,0.36,1.0,0.36,0.1296,1.0,0.1296,1.0
praxair,"praxair technology, inc.",1,0.45,1.0,0.48,1.0,0.45,0.216,0.45,0.48,1.0,0.48,0.2025,1.0,0.2304,1.0
blackberry,blackberry limited,1,0.71,1.0,0.71,1.0,0.71,0.5041,0.71,0.71,1.0,0.71,0.5041,1.0,0.5041,1.0
blackberry,blackberry limited and certicom corp.,1,0.43,1.0,0.43,1.0,0.43,0.18489999999999998,0.43,0.43,1.0,0.43,0.18489999999999998,1.0,0.18489999999999998,1.0
ajax tocco magnethermic corp.,ajax magnethermic corporation,1,0.76,0.76,0.77,0.84,0.5776,0.5852,0.6384,0.5852,0.6384,0.6468,0.5776,0.5776,0.5929,0.7055999999999999
ajax tocco magnethermic corp.,ajax tocco magnethermic corporation,1,0.88,0.97,0.89,0.9,0.8536,0.7832,0.792,0.8633,0.873,0.801,0.7744,0.9409,0.7921,0.81
sonic solutions,"sonic ip, inc.",1,0.55,0.57,0.59,0.59,0.3135,0.3245,0.3245,0.33629999999999993,0.33629999999999993,0.34809999999999997,0.30250000000000005,0.32489999999999997,0.34809999999999997,0.34809999999999997
scientific games corporation,scientific games holdings limited,1,0.66,0.71,0.56,0.73,0.4686,0.36960000000000004,0.4818,0.3976,0.5183,0.40880000000000005,0.43560000000000004,0.5041,0.31360000000000005,0.5328999999999999
scientific games corporation,scientific games inc.,1,0.78,0.86,0.67,0.89,0.6708000000000001,0.5226000000000001,0.6942,0.5762,0.7654,0.5963,0.6084,0.7395999999999999,0.4489000000000001,0.7921
nokia,nokia corporation,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
nokia,nokia solutions and networks oy,1,0.28,1.0,0.28,1.0,0.28,0.07840000000000001,0.28,0.28,1.0,0.28,0.07840000000000001,1.0,0.07840000000000001,1.0
nokia,nokia siemens networks oy,1,0.33,1.0,0.33,1.0,0.33,0.10890000000000001,0.33,0.33,1.0,0.33,0.10890000000000001,1.0,0.10890000000000001,1.0
nokia,nokia networks oy,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
nokia,"nokia, inc.",1,0.62,1.0,0.71,1.0,0.62,0.4402,0.62,0.71,1.0,0.71,0.3844,1.0,0.5041,1.0
nokia,nokia siemens networks gmbh & co. kg,1,0.24,1.0,0.26,1.0,0.24,0.0624,0.24,0.26,1.0,0.26,0.0576,1.0,0.06760000000000001,1.0
nokia,nokia mobile phones ltd.,1,0.34,1.0,0.36,1.0,0.34,0.12240000000000001,0.34,0.36,1.0,0.36,0.11560000000000002,1.0,0.1296,1.0
raytheon co.,raytheon company,1,0.79,0.92,0.81,0.84,0.7268000000000001,0.6399,0.6636,0.7452000000000001,0.7728,0.6804,0.6241000000000001,0.8464,0.6561000000000001,0.7055999999999999
raytheon co.,"raytheon cyber products, llc",1,0.55,0.83,0.58,0.84,0.4565,0.319,0.462,0.48139999999999994,0.6971999999999999,0.48719999999999997,0.30250000000000005,0.6889,0.3364,0.7055999999999999
raytheon co.,"raytheon applied signal technology, inc.",1,0.46,0.75,0.41,0.84,0.34500000000000003,0.1886,0.3864,0.3075,0.63,0.3444,0.2116,0.5625,0.16809999999999997,0.7055999999999999
raytheon co.,raytheon bbn technologies corp.,1,0.56,0.75,0.54,0.84,0.42000000000000004,0.30240000000000006,0.47040000000000004,0.405,0.63,0.4536,0.31360000000000005,0.5625,0.2916,0.7055999999999999
kimberly-clark corporation,kimberly-clark worldwide,1,0.72,0.75,0.56,0.74,0.54,0.4032,0.5327999999999999,0.42000000000000004,0.5549999999999999,0.41440000000000005,0.5184,0.5625,0.31360000000000005,0.5476
kimberly-clark corporation,kimberly-clark corporation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kimberly-clark corporation,kimberly-clark inc.,1,0.76,0.84,0.77,0.88,0.6384,0.5852,0.6688000000000001,0.6468,0.7392,0.6776,0.5776,0.7055999999999999,0.5929,0.7744
lumentum operations llc,lumentum operations llc,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
usa technologies,"usa technologies, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
synopsys,"synopsys, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
synopsys,"synopsys (shanghai) co., ltd.",1,0.43,1.0,0.5,1.0,0.43,0.215,0.43,0.5,1.0,0.5,0.18489999999999998,1.0,0.25,1.0
applied materials,applied materials israel ltd.,1,0.74,1.0,0.76,1.0,0.74,0.5624,0.74,0.76,1.0,0.76,0.5476,1.0,0.5776,1.0
applied materials,"applied materials, inc.",1,0.85,1.0,0.89,1.0,0.85,0.7565,0.85,0.89,1.0,0.89,0.7224999999999999,1.0,0.7921,1.0
applied materials,applied materials south east asia pte. ltd.,1,0.57,1.0,0.59,1.0,0.57,0.33629999999999993,0.57,0.59,1.0,0.59,0.32489999999999997,1.0,0.34809999999999997,1.0
applied materials,"applies materials, inc.",1,0.8,0.94,0.84,0.84,0.752,0.672,0.672,0.7896,0.7896,0.7055999999999999,0.6400000000000001,0.8835999999999999,0.7055999999999999,0.7055999999999999
applied materials,applied materials gmbh,1,0.87,1.0,0.87,1.0,0.87,0.7569,0.87,0.87,1.0,0.87,0.7569,1.0,0.7569,1.0
applied materials,applieed materials israel ltd.,1,0.72,0.94,0.74,0.74,0.6768,0.5327999999999999,0.5327999999999999,0.6956,0.6956,0.5476,0.5184,0.8835999999999999,0.5476,0.5476
exactech,"exactech, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
molecular devices,"molecular sensing, inc.",1,0.65,0.71,0.63,0.74,0.46149999999999997,0.40950000000000003,0.481,0.4473,0.5254,0.4662,0.42250000000000004,0.5041,0.39690000000000003,0.5476
molecular devices,molecular devices corporation,1,0.74,1.0,0.74,1.0,0.74,0.5476,0.74,0.74,1.0,0.74,0.5476,1.0,0.5476,1.0
transcore,transcore link logistics corp.,1,0.46,1.0,0.47,1.0,0.46,0.2162,0.46,0.47,1.0,0.47,0.2116,1.0,0.22089999999999999,1.0
terex,"terex usa, llc",1,0.53,1.0,0.56,1.0,0.53,0.29680000000000006,0.53,0.56,1.0,0.56,0.28090000000000004,1.0,0.31360000000000005,1.0
gambro,gambro lundia ab,1,0.55,1.0,0.55,1.0,0.55,0.30250000000000005,0.55,0.55,1.0,0.55,0.30250000000000005,1.0,0.30250000000000005,1.0
gambro,"gambro uf solutions, inc.",1,0.39,1.0,0.41,1.0,0.39,0.1599,0.39,0.41,1.0,0.41,0.1521,1.0,0.16809999999999997,1.0
cubic corporation,cubic corporation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
greenlee,greenlee textron inc.,1,0.55,1.0,0.57,1.0,0.55,0.3135,0.55,0.57,1.0,0.57,0.30250000000000005,1.0,0.32489999999999997,1.0
steris corporation,steris inc.,1,0.62,0.73,0.64,0.75,0.4526,0.3968,0.46499999999999997,0.4672,0.5475,0.48,0.3844,0.5328999999999999,0.4096,0.5625
zimmer biomet holdings,"zimmer, inc.",1,0.53,0.67,0.56,0.75,0.3551,0.29680000000000006,0.3975,0.37520000000000003,0.5025000000000001,0.42000000000000004,0.28090000000000004,0.4489000000000001,0.31360000000000005,0.5625
zimmer biomet holdings,"zimmer spine, inc.",1,0.6,0.56,0.58,0.58,0.336,0.348,0.348,0.32480000000000003,0.32480000000000003,0.3364,0.36,0.31360000000000005,0.3364,0.3364
zimmer biomet holdings,"zimmer technology, inc.",1,0.58,0.59,0.6,0.6,0.34219999999999995,0.348,0.348,0.354,0.354,0.36,0.3364,0.34809999999999997,0.36,0.36
zimmer biomet holdings,zimmer spine s.a.s.,1,0.54,0.53,0.5,0.55,0.2862,0.27,0.29700000000000004,0.265,0.29150000000000004,0.275,0.2916,0.28090000000000004,0.25,0.30250000000000005
zimmer biomet holdings,"zimmer spine austin, inc.",1,0.55,0.55,0.53,0.53,0.30250000000000005,0.29150000000000004,0.29150000000000004,0.29150000000000004,0.29150000000000004,0.28090000000000004,0.30250000000000005,0.30250000000000005,0.28090000000000004,0.28090000000000004
canon,canon kabushiki kaisha,1,0.37,1.0,0.37,1.0,0.37,0.1369,0.37,0.37,1.0,0.37,0.1369,1.0,0.1369,1.0
canon,canon kabuashiki kaisha,1,0.36,1.0,0.36,1.0,0.36,0.1296,0.36,0.36,1.0,0.36,0.1296,1.0,0.1296,1.0
canon,"canon staar co., inc.",1,0.38,1.0,0.43,1.0,0.38,0.1634,0.38,0.43,1.0,0.43,0.1444,1.0,0.18489999999999998,1.0
canon,"canon precision, inc.",1,0.38,1.0,0.42,1.0,0.38,0.1596,0.38,0.42,1.0,0.42,0.1444,1.0,0.17639999999999997,1.0
canon,canon finetech inc.,1,0.42,1.0,0.43,1.0,0.42,0.18059999999999998,0.42,0.43,1.0,0.43,0.17639999999999997,1.0,0.18489999999999998,1.0
canon,"canon nanotechnologies, inc.",1,0.3,1.0,0.32,1.0,0.3,0.096,0.3,0.32,1.0,0.32,0.09,1.0,0.1024,1.0
canon,canon finetech nisca inc.,1,0.33,1.0,0.34,1.0,0.33,0.11220000000000001,0.33,0.34,1.0,0.34,0.10890000000000001,1.0,0.11560000000000002,1.0
canon,canon anelva corporation,1,0.34,1.0,0.34,1.0,0.34,0.11560000000000002,0.34,0.34,1.0,0.34,0.11560000000000002,1.0,0.11560000000000002,1.0
canon,canon seiki kabushiki kaisha,1,0.3,1.0,0.3,1.0,0.3,0.09,0.3,0.3,1.0,0.3,0.09,1.0,0.09,1.0
excelitas technologies,"excelitas canada, inc.",1,0.59,0.59,0.52,0.62,0.34809999999999997,0.3068,0.36579999999999996,0.3068,0.36579999999999996,0.3224,0.34809999999999997,0.34809999999999997,0.27040000000000003,0.3844
genentech,"genentech, inc.",1,0.75,1.0,0.82,1.0,0.75,0.615,0.75,0.82,1.0,0.82,0.5625,1.0,0.6723999999999999,1.0
haemonetics,haemonetics corporation,1,0.65,1.0,0.65,1.0,0.65,0.42250000000000004,0.65,0.65,1.0,0.65,0.42250000000000004,1.0,0.42250000000000004,1.0
haemonetics,haemonetics,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cortina systems,"cortina systems, inc.",1,0.83,1.0,0.88,1.0,0.83,0.7303999999999999,0.83,0.88,1.0,0.88,0.6889,1.0,0.7744,1.0
tellabs,"tellabs operations, inc.",1,0.45,1.0,0.48,1.0,0.45,0.216,0.45,0.48,1.0,0.48,0.2025,1.0,0.2304,1.0
illinois tool works,illinois tool works inc.,1,0.88,1.0,0.9,1.0,0.88,0.792,0.88,0.9,1.0,0.9,0.7744,1.0,0.81,1.0
biomarin pharmaceutical,biomarin pharmaceutical inc.,1,0.9,1.0,0.92,1.0,0.9,0.8280000000000001,0.9,0.92,1.0,0.92,0.81,1.0,0.8464,1.0
merck animal health,merck sharp & dohme corp.,1,0.45,0.53,0.44,0.49,0.23850000000000002,0.198,0.2205,0.23320000000000002,0.2597,0.21559999999999999,0.2025,0.28090000000000004,0.1936,0.24009999999999998
merck animal health,"merck & co., inc.",1,0.39,0.41,0.45,0.59,0.1599,0.17550000000000002,0.2301,0.1845,0.24189999999999998,0.2655,0.1521,0.16809999999999997,0.2025,0.34809999999999997
servicesource,"servicesource international, inc.",1,0.57,1.0,0.59,1.0,0.57,0.33629999999999993,0.57,0.59,1.0,0.59,0.32489999999999997,1.0,0.34809999999999997,1.0
qiagen,"qiagen gaithersburg, inc.",1,0.39,1.0,0.41,1.0,0.39,0.1599,0.39,0.41,1.0,0.41,0.1521,1.0,0.16809999999999997,1.0
qiagen,"qiagen sciences, llc",1,0.46,1.0,0.48,1.0,0.46,0.2208,0.46,0.48,1.0,0.48,0.2116,1.0,0.2304,1.0
omnivision technologies,"omnivision technologies, inc.",1,0.88,1.0,0.92,1.0,0.88,0.8096,0.88,0.92,1.0,0.92,0.7744,1.0,0.8464,1.0
teraxion,teraxion inc.,1,0.76,1.0,0.8,1.0,0.76,0.6080000000000001,0.76,0.8,1.0,0.8,0.5776,1.0,0.6400000000000001,1.0
schneider electric,"schneider electric usa, inc.",1,0.78,1.0,0.82,1.0,0.78,0.6396,0.78,0.82,1.0,0.82,0.6084,1.0,0.6723999999999999,1.0
inphi,inphi corporation,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
qinetiq,"qinetiq north america, inc.",1,0.41,1.0,0.44,1.0,0.41,0.18039999999999998,0.41,0.44,1.0,0.44,0.16809999999999997,1.0,0.1936,1.0
electro scientific industries,"electro scientific industries, inc.",1,0.91,1.0,0.94,1.0,0.91,0.8553999999999999,0.91,0.94,1.0,0.94,0.8281000000000001,1.0,0.8835999999999999,1.0
electro scientific industries,"electron scientific industries, inc.",1,0.89,0.97,0.92,0.92,0.8633,0.8188000000000001,0.8188000000000001,0.8924,0.8924,0.8464,0.7921,0.9409,0.8464,0.8464
teva pharmaceutical industries,teva pharmaceuticals international gmbh,1,0.72,0.83,0.72,0.72,0.5975999999999999,0.5184,0.5184,0.5975999999999999,0.5975999999999999,0.5184,0.5184,0.6889,0.5184,0.5184
huntsman corporation,huntsman international llc,1,0.65,0.75,0.35,0.65,0.48750000000000004,0.22749999999999998,0.42250000000000004,0.26249999999999996,0.48750000000000004,0.22749999999999998,0.42250000000000004,0.5625,0.12249999999999998,0.42250000000000004
huntsman corporation,huntsman ici chemicals llc,1,0.48,0.55,0.48,0.57,0.264,0.2304,0.27359999999999995,0.264,0.3135,0.27359999999999995,0.2304,0.30250000000000005,0.2304,0.32489999999999997
huntsman corporation,huntsman petrochemical corporation,1,0.74,0.75,0.74,1.0,0.5549999999999999,0.5476,0.74,0.5549999999999999,0.75,0.74,0.5476,0.5625,0.5476,1.0
huntsman corporation,huntsman petrochemical llc,1,0.52,0.6,0.35,0.57,0.312,0.182,0.2964,0.21,0.34199999999999997,0.19949999999999998,0.27040000000000003,0.36,0.12249999999999998,0.32489999999999997
raven industries,"raven industries, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
witness systems,"witness systems, inc.",1,0.83,1.0,0.88,1.0,0.83,0.7303999999999999,0.83,0.88,1.0,0.88,0.6889,1.0,0.7744,1.0
kinetic systems,kinetics germany gmbh,1,0.56,0.67,0.44,0.44,0.37520000000000003,0.24640000000000004,0.24640000000000004,0.2948,0.2948,0.1936,0.31360000000000005,0.4489000000000001,0.1936,0.1936
lear corporation,"lear automotive dearborn, inc.",1,0.48,0.56,0.5,0.5,0.26880000000000004,0.24,0.24,0.28,0.28,0.25,0.2304,0.31360000000000005,0.25,0.25
lear corporation,lear corporation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
verigy ltd.,verigy (singapore) pte. ltd.,1,0.56,0.64,0.59,1.0,0.35840000000000005,0.3304,0.56,0.3776,0.64,0.59,0.31360000000000005,0.4096,0.34809999999999997,1.0
analogic,analogic canada corp,1,0.57,1.0,0.57,1.0,0.57,0.32489999999999997,0.57,0.57,1.0,0.57,0.32489999999999997,1.0,0.32489999999999997,1.0
conexant systems,"conexant systems, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
conexant systems,"conexant, inc.",1,0.6,0.64,0.64,0.8,0.384,0.384,0.48,0.4096,0.512,0.512,0.36,0.4096,0.4096,0.6400000000000001
maxim integrated,"maxim integrated products, inc.",1,0.68,1.0,0.71,1.0,0.68,0.4828,0.68,0.71,1.0,0.71,0.4624000000000001,1.0,0.5041,1.0
nexans,nexans,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
galapagos,galapagos nv,1,0.86,1.0,0.86,1.0,0.86,0.7395999999999999,0.86,0.86,1.0,0.86,0.7395999999999999,1.0,0.7395999999999999,1.0
curtiss-wright,curtiss-wright electro-mechanical corporation,1,0.47,1.0,0.47,1.0,0.47,0.22089999999999999,0.47,0.47,1.0,0.47,0.22089999999999999,1.0,0.22089999999999999,1.0
curtiss-wright,curtiss-wright flow control corporation,1,0.53,1.0,0.53,1.0,0.53,0.28090000000000004,0.53,0.53,1.0,0.53,0.28090000000000004,1.0,0.28090000000000004,1.0
illumina,illumina cambridge limited,1,0.47,1.0,0.47,1.0,0.47,0.22089999999999999,0.47,0.47,1.0,0.47,0.22089999999999999,1.0,0.22089999999999999,1.0
illumina,"illumina, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
anheuser-busch inbev,"anheuser-busch, inc.",1,0.85,0.85,0.89,0.89,0.7224999999999999,0.7565,0.7565,0.7565,0.7565,0.7921,0.7224999999999999,0.7224999999999999,0.7921,0.7921
anheuser-busch inbev,"anheuser-busch companies, inc.",1,0.68,0.75,0.71,0.82,0.51,0.4828,0.5576,0.5325,0.615,0.5821999999999999,0.4624000000000001,0.5625,0.5041,0.6723999999999999
anheuser-busch inbev,"anheuser-busch, incorporated",1,0.75,0.85,0.77,0.82,0.6375,0.5775,0.615,0.6545,0.697,0.6314,0.5625,0.7224999999999999,0.5929,0.6723999999999999
corning,corning optical communications llc,1,0.34,1.0,0.34,1.0,0.34,0.11560000000000002,0.34,0.34,1.0,0.34,0.11560000000000002,1.0,0.11560000000000002,1.0
corning,corning applied technologies corporation,1,0.3,1.0,0.3,1.0,0.3,0.09,0.3,0.3,1.0,0.3,0.09,1.0,0.09,1.0
corning,corning cable systems llc,1,0.44,1.0,0.44,1.0,0.44,0.1936,0.44,0.44,1.0,0.44,0.1936,1.0,0.1936,1.0
corning,corning optical commuication wireless ltd,1,0.29,1.0,0.29,1.0,0.29,0.0841,0.29,0.29,1.0,0.29,0.0841,1.0,0.0841,1.0
ball corporation,ball packaging europe gmbh,1,0.43,0.56,0.48,0.48,0.24080000000000001,0.2064,0.2064,0.26880000000000004,0.26880000000000004,0.2304,0.18489999999999998,0.31360000000000005,0.2304,0.2304
u-blox,u-blox ag,1,0.8,1.0,0.8,1.0,0.8,0.6400000000000001,0.8,0.8,1.0,0.8,0.6400000000000001,1.0,0.6400000000000001,1.0
amdocs,amdocs development limited,1,0.38,1.0,0.38,1.0,0.38,0.1444,0.38,0.38,1.0,0.38,0.1444,1.0,0.1444,1.0
amdocs,amdocs software systems limited,1,0.32,1.0,0.32,1.0,0.32,0.1024,0.32,0.32,1.0,0.32,0.1024,1.0,0.1024,1.0
amdocs,amdocs systems limited,1,0.43,1.0,0.43,1.0,0.43,0.18489999999999998,0.43,0.43,1.0,0.43,0.18489999999999998,1.0,0.18489999999999998,1.0
west interactive,west interactive corporation ii,1,0.68,1.0,0.68,1.0,0.68,0.4624000000000001,0.68,0.68,1.0,0.68,0.4624000000000001,1.0,0.4624000000000001,1.0
littelfuse,"littelfuse, inc.",1,0.77,1.0,0.83,1.0,0.77,0.6391,0.77,0.83,1.0,0.83,0.5929,1.0,0.6889,1.0
perigen,"perigen, inc",1,0.74,1.0,0.78,1.0,0.74,0.5772,0.74,0.78,1.0,0.78,0.5476,1.0,0.6084,1.0
novozymes,novozymes biopharma dic a/s,1,0.5,1.0,0.5,1.0,0.5,0.25,0.5,0.5,1.0,0.5,0.25,1.0,0.25,1.0
novozymes,novozymes a/s,1,0.82,1.0,0.82,1.0,0.82,0.6723999999999999,0.82,0.82,1.0,0.82,0.6723999999999999,1.0,0.6723999999999999,1.0
novozymes,"novozymes biologicals, inc.",1,0.5,1.0,0.53,1.0,0.5,0.265,0.5,0.53,1.0,0.53,0.25,1.0,0.28090000000000004,1.0
novozymes,novozymes bioag a/s,1,0.64,1.0,0.64,1.0,0.64,0.4096,0.64,0.64,1.0,0.64,0.4096,1.0,0.4096,1.0
ciena,ciena corporation,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
bae systems,"bae systems survivability systems, llc",1,0.45,1.0,0.46,1.0,0.45,0.20700000000000002,0.45,0.46,1.0,0.46,0.2025,1.0,0.2116,1.0
bae systems,"bae systems tactical vehicle systems, l.p.",1,0.42,1.0,0.43,1.0,0.42,0.18059999999999998,0.42,0.43,1.0,0.43,0.17639999999999997,1.0,0.18489999999999998,1.0
bae systems,"bae systems imaging solutions, inc.",1,0.48,1.0,0.5,1.0,0.48,0.24,0.48,0.5,1.0,0.5,0.2304,1.0,0.25,1.0
bae systems,bae systems survivability,1,0.61,1.0,0.61,1.0,0.61,0.3721,0.61,0.61,1.0,0.61,0.3721,1.0,0.3721,1.0
medtronic,"medtronic, inc.",1,0.75,1.0,0.82,1.0,0.75,0.615,0.75,0.82,1.0,0.82,0.5625,1.0,0.6723999999999999,1.0
medtronic,"medtronic minimed, inc.",1,0.56,1.0,0.6,1.0,0.56,0.336,0.56,0.6,1.0,0.6,0.31360000000000005,1.0,0.36,1.0
medtronic,medtronic vascular galway,1,0.53,1.0,0.53,1.0,0.53,0.28090000000000004,0.53,0.53,1.0,0.53,0.28090000000000004,1.0,0.28090000000000004,1.0
medtronic,"medtronic emergency response systems, inc.",1,0.35,1.0,0.37,1.0,0.35,0.1295,0.35,0.37,1.0,0.37,0.12249999999999998,1.0,0.1369,1.0
medtronic,medtronic physio-control corp.,1,0.46,1.0,0.47,1.0,0.46,0.2162,0.46,0.47,1.0,0.47,0.2116,1.0,0.22089999999999999,1.0
medtronic,medtronic ardian luxembourg s.a.r.l.,1,0.4,1.0,0.41,1.0,0.4,0.164,0.4,0.41,1.0,0.41,0.16000000000000003,1.0,0.16809999999999997,1.0
medtronic,"medtronic percusurge, inc.",1,0.51,1.0,0.55,1.0,0.51,0.2805,0.51,0.55,1.0,0.55,0.2601,1.0,0.30250000000000005,1.0
medtronic,"medtronic vascular, inc.",1,0.55,1.0,0.58,1.0,0.55,0.319,0.55,0.58,1.0,0.58,0.30250000000000005,1.0,0.3364,1.0
medtronic,medtronic cryocath lp,1,0.6,1.0,0.6,1.0,0.6,0.36,0.6,0.6,1.0,0.6,0.36,1.0,0.36,1.0
medtronic,"medtronic xomed, inc.",1,0.6,1.0,0.64,1.0,0.6,0.384,0.6,0.64,1.0,0.64,0.36,1.0,0.4096,1.0
medtronic,medtronic advanced energy llc,1,0.47,1.0,0.47,1.0,0.47,0.22089999999999999,0.47,0.47,1.0,0.47,0.22089999999999999,1.0,0.22089999999999999,1.0
medtronic,"medtronic monitoring, inc.",1,0.51,1.0,0.55,1.0,0.51,0.2805,0.51,0.55,1.0,0.55,0.2601,1.0,0.30250000000000005,1.0
medtronic,medtronic ablation frontiers llc,1,0.44,1.0,0.44,1.0,0.44,0.1936,0.44,0.44,1.0,0.44,0.1936,1.0,0.1936,1.0
medtronic,medtronic physio-control manufacturing corp.,1,0.34,1.0,0.35,1.0,0.34,0.119,0.34,0.35,1.0,0.35,0.11560000000000002,1.0,0.12249999999999998,1.0
medtronic,medtronic corevalve llc,1,0.56,1.0,0.56,1.0,0.56,0.31360000000000005,0.56,0.56,1.0,0.56,0.31360000000000005,1.0,0.31360000000000005,1.0
medtronic,medtronic ventor technologies ltd.,1,0.42,1.0,0.43,1.0,0.42,0.18059999999999998,0.42,0.43,1.0,0.43,0.17639999999999997,1.0,0.18489999999999998,1.0
medtronic,medtronic cardiorhythm ,1,0.56,1.0,0.58,1.0,0.56,0.32480000000000003,0.56,0.58,1.0,0.58,0.31360000000000005,1.0,0.3364,1.0
medtronic,medtronic bakken research center b.v.,1,0.39,1.0,0.4,1.0,0.39,0.15600000000000003,0.39,0.4,1.0,0.4,0.1521,1.0,0.16000000000000003,1.0
medtronic,medtronic cv luxembourg s.a.r.l.,1,0.44,1.0,0.45,1.0,0.44,0.198,0.44,0.45,1.0,0.45,0.1936,1.0,0.2025,1.0
medtronic,"medtronic navigation, inc.",1,0.51,1.0,0.55,1.0,0.51,0.2805,0.51,0.55,1.0,0.55,0.2601,1.0,0.30250000000000005,1.0
medtronic,"medtronic vidamed, inc.",1,0.56,1.0,0.6,1.0,0.56,0.336,0.56,0.6,1.0,0.6,0.31360000000000005,1.0,0.36,1.0
medtronic,"medtronic avecor cardiovascular, inc.",1,0.39,1.0,0.41,1.0,0.39,0.1599,0.39,0.41,1.0,0.41,0.1521,1.0,0.16809999999999997,1.0
dentsply sirona,dentsply sirona inc.,1,0.86,1.0,0.88,1.0,0.86,0.7568,0.86,0.88,1.0,0.88,0.7395999999999999,1.0,0.7744,1.0
dentsply sirona,dentsply ih ab,1,0.76,0.71,0.69,0.73,0.5396,0.5244,0.5548,0.48989999999999995,0.5183,0.5036999999999999,0.5776,0.5041,0.4760999999999999,0.5328999999999999
dentsply sirona,dentsply international inc.,1,0.67,0.8,0.68,0.7,0.536,0.45560000000000006,0.469,0.544,0.5599999999999999,0.476,0.4489000000000001,0.6400000000000001,0.4624000000000001,0.48999999999999994
st. jude medical,"st. jude medical, atrial fibrillation division, inc.",1,0.47,1.0,0.48,1.0,0.47,0.22559999999999997,0.47,0.48,1.0,0.48,0.22089999999999999,1.0,0.2304,1.0
st. jude medical,"st. jude medical, ab",1,0.89,1.0,0.91,1.0,0.89,0.8099000000000001,0.89,0.91,1.0,0.91,0.7921,1.0,0.8281000000000001,1.0
st. jude medical,"st. jude medical, cardiology division, inc.",1,0.54,1.0,0.56,1.0,0.54,0.30240000000000006,0.54,0.56,1.0,0.56,0.2916,1.0,0.31360000000000005,1.0
st. jude medical,"st. jude medical atg, inc.",1,0.76,1.0,0.79,1.0,0.76,0.6004,0.76,0.79,1.0,0.79,0.5776,1.0,0.6241000000000001,1.0
st. jude medical,st. jude medical puerto rico llc,1,0.67,1.0,0.65,1.0,0.67,0.43550000000000005,0.67,0.65,1.0,0.65,0.4489000000000001,1.0,0.42250000000000004,1.0
